Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	P_DCH	
6.16	0.022689821	0.022180915	0.027998248	0.014222171	0.018512147	0.00017522154	0.02681074	
6.17	0.02261826	0.022111888	0.027930356	0.014162315	0.018483198	0.00017494257	0.026740647	
6.18	0.022547019	0.022043163	0.027862769	0.014102765	0.018454339	0.00017466449	0.026670866	
6.19	0.022476095	0.02197474	0.027795484	0.014043517	0.018425571	0.00017438729	0.026601397	
6.2	0.022405486	0.021906617	0.027728501	0.01398457	0.018396892	0.00017411097	0.026532236	
6.21	0.022335192	0.021838792	0.027661817	0.013925923	0.018368302	0.00017383552	0.026463383	
6.22	0.022265209	0.021771264	0.027595431	0.013867573	0.018339801	0.00017356095	0.026394836	
6.23	0.022195538	0.021704031	0.027529342	0.013809519	0.018311389	0.00017328724	0.026326593	
6.24	0.022126174	0.021637092	0.027463548	0.013751758	0.018283064	0.00017301439	0.026258653	
6.25	0.022057118	0.021570445	0.027398046	0.01369429	0.018254828	0.0001727424	0.026191013	
6.26	0.021988368	0.021504088	0.027332837	0.013637112	0.018226678	0.00017247126	0.026123672	
6.27	0.021919921	0.02143802	0.027267917	0.013580223	0.018198615	0.00017220097	0.026056629	
6.28	0.021851775	0.021372239	0.027203286	0.01352362	0.018170638	0.00017193153	0.025989882	
6.29	0.021783931	0.021306744	0.027138942	0.013467302	0.018142748	0.00017166293	0.025923429	
6.3	0.021716385	0.021241533	0.027074883	0.013411268	0.018114943	0.00017139517	0.025857268	
6.31	0.021649136	0.021176605	0.027011108	0.013355516	0.018087223	0.00017112825	0.025791399	
6.32	0.021582182	0.021111958	0.026947615	0.013300043	0.018059588	0.00017086215	0.025725819	
6.33	0.021515523	0.021047591	0.026884404	0.013244849	0.018032037	0.00017059688	0.025660527	
6.34	0.021449155	0.020983501	0.026821471	0.013189932	0.01800457	0.00017033243	0.025595521	
6.35	0.021383079	0.020919689	0.026758816	0.01313529	0.017977187	0.0001700688	0.0255308	
6.36	0.021317291	0.020856151	0.026696438	0.013080921	0.017949887	0.00016980599	0.025466362	
6.37	0.021251791	0.020792887	0.026634335	0.013026823	0.01792267	0.00016954399	0.025402205	
6.38	0.021186576	0.020729896	0.026572504	0.012972996	0.017895536	0.00016928279	0.025338329	
6.39	0.021121646	0.020667175	0.026510946	0.012919437	0.017868483	0.0001690224	0.025274731	
6.4	0.021056999	0.020604723	0.026449658	0.012866146	0.017841512	0.0001687628	0.02521141	
6.41	0.020992633	0.020542539	0.02638864	0.012813119	0.017814623	0.00016850401	0.025148364	
6.42	0.020928547	0.020480622	0.026327889	0.012760357	0.017787815	0.000168246	0.025085593	
6.43	0.020864739	0.02041897	0.026267404	0.012707856	0.017761087	0.00016798879	0.025023094	
