Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	
4.3	0.04416014	0.04269412	0.04834033	0.03351570	
4.31	0.04398363	0.04252706	0.04817377	0.03334810	
4.32	0.04380801	0.04236080	0.04800804	0.03318148	
4.33	0.04363328	0.04219535	0.04784313	0.03301582	
4.34	0.04345942	0.04203072	0.04767902	0.03285113	
4.35	0.04328644	0.04186688	0.04751574	0.03268739	
4.36	0.04311433	0.04170385	0.04735325	0.03252460	
4.37	0.04294309	0.04154161	0.04719158	0.03236276	
4.38	0.04277271	0.04138016	0.04703070	0.03220186	
4.39	0.04260319	0.04121951	0.04687062	0.03204189	
4.4	0.04243452	0.04105964	0.04671133	0.03188285	
4.41	0.04226671	0.04090055	0.04655283	0.03172473	
4.42	0.04209974	0.04074225	0.04639512	0.03156753	
4.43	0.04193361	0.04058472	0.04623820	0.03141125	
4.44	0.04176833	0.04042796	0.04608205	0.03125587	
4.45	0.04160387	0.04027197	0.04592668	0.03110139	
4.46	0.04144025	0.04011674	0.04577208	0.03094781	
4.47	0.04127746	0.03996228	0.04561825	0.03079512	
4.48	0.04111548	0.03980858	0.04546518	0.03064332	
4.49	0.04095433	0.03965563	0.04531287	0.03049239	
4.5	0.04079399	0.03950343	0.04516133	0.03034234	
4.51	0.04063446	0.03935198	0.04501053	0.03019317	
4.52	0.04047573	0.03920128	0.04486049	0.03004485	
4.53	0.04031781	0.03905131	0.04471120	0.02989740	
4.54	0.04016069	0.03890209	0.04456265	0.02975080	
4.55	0.04000436	0.03875360	0.04441483	0.02960504	
4.56	0.03984882	0.03860583	0.04426776	0.02946014	
4.57	0.03969406	0.03845880	0.04412142	0.02931607	
4.58	0.03954009	0.03831248	0.04397580	0.02917283	
4.59	0.03938690	0.03816689	0.04383091	0.02903042	
4.6	0.03923448	0.03802202	0.04368675	0.02888884	
4.61	0.03908283	0.03787785	0.04354330	0.02874807	
4.62	0.03893195	0.03773440	0.04340057	0.02860812	
4.63	0.03878182	0.03759165	0.04325855	0.02846898	
4.64	0.03863246	0.03744960	0.04311723	0.02833063	
4.65	0.03848385	0.03730825	0.04297662	0.02819309	
4.66	0.03833599	0.03716760	0.04283671	0.02805634	
4.67	0.03818887	0.03702764	0.04269750	0.02792038	
4.68	0.03804250	0.03688837	0.04255898	0.02778520	
4.69	0.03789687	0.03674978	0.04242116	0.02765080	
4.7	0.03775197	0.03661187	0.04228401	0.02751718	
4.71	0.03760780	0.03647465	0.04214755	0.02738432	
4.72	0.03746436	0.03633809	0.04201177	0.02725223	
4.73	0.03732164	0.03620221	0.04187667	0.02712090	
4.74	0.03717964	0.03606699	0.04174224	0.02699032	
4.75	0.03703835	0.03593244	0.04160848	0.02686049	
4.76	0.03689777	0.03579855	0.04147538	0.02673141	
4.77	0.03675790	0.03566532	0.04134294	0.02660307	
4.78	0.03661874	0.03553274	0.04121117	0.02647546	
4.79	0.03648027	0.03540081	0.04108005	0.02634859	
4.8	0.03634250	0.03526953	0.04094958	0.02622244	
4.81	0.03620542	0.03513889	0.04081976	0.02609702	
4.82	0.03606903	0.03500889	0.04069058	0.02597231	
4.83	0.03593333	0.03487953	0.04056204	0.02584831	
4.84	0.03579830	0.03475080	0.04043415	0.02572503	
4.85	0.03566395	0.03462271	0.04030688	0.02560244	
4.86	0.03553028	0.03449524	0.04018025	0.02548056	
4.87	0.03539727	0.03436839	0.04005425	0.02535938	
4.88	0.03526493	0.03424217	0.03992887	0.02523888	
4.89	0.03513326	0.03411656	0.03980411	0.02511907	
4.9	0.03500224	0.03399156	0.03967997	0.02499994	
